No,キー,組織,学校,都道府県,市区町村,校種
246,okegawa-jh.edumap.jp,118:桶川市教育委員会,242:桶川市立桶川中学校,11:埼玉県,112313:桶川市,中学校
247,okegawanishi-jh.edumap.jp,118:桶川市教育委員会,253:桶川市立桶川西中学校,11:埼玉県,112313:桶川市,中学校
248,okegawahigashi-jh.edumap.jp,118:桶川市教育委員会,256:桶川市立桶川東中学校,11:埼玉県,112313:桶川市,中学校
249,okegawakanou-jh.edumap.jp,118:桶川市教育委員会,257:桶川市立加納中学校,11:埼玉県,112313:桶川市,中学校
250,okegawaasahi-es.edumap.jp,118:桶川市教育委員会,291:桶川市立朝日小学校,11:埼玉県,112313:桶川市,小学校
251,okegawanishi-es.edumap.jp,118:桶川市教育委員会,292:桶川市立桶川西小学校,11:埼玉県,112313:桶川市,小学校
252,t-araya.edumap.jp,119:天童市立荒谷小学校,248:天童市立荒谷小学校,06:山形県,062103:天童市,小学校
253,mikajima-es.edumap.jp,120:所沢市立三ケ島小学校,307:所沢市立三ヶ島小学校,11:埼玉県,112089:所沢市,小学校
254,mombetsu-j-mombetsu.edumap.jp,121:紋別市教育委員会,263:紋別市立紋別中学校,01:北海道,012190:紋別市,中学校
255,mombetsu-j-shiomi.edumap.jp,121:紋別市教育委員会,268:紋別市立潮見中学校,01:北海道,012190:紋別市,中学校
256,mombetsu-j-shokotsu.edumap.jp,121:紋別市教育委員会,269:紋別市立渚滑中学校,01:北海道,012190:紋別市,中学校
257,mombetsu-e-komukai.edumap.jp,121:紋別市教育委員会,260:紋別市立小向小学校,01:北海道,012190:紋別市,小学校
258,mombetsu-e-minamigaoka.edumap.jp,121:紋別市教育委員会,261:紋別市立南丘小学校,01:北海道,012190:紋別市,小学校
259,mombetsu-e-kamishokotsu.edumap.jp,121:紋別市教育委員会,262:紋別市立上渚滑小学校,01:北海道,012190:紋別市,小学校
260,mombetsu-e-shiomi.edumap.jp,121:紋別市教育委員会,265:紋別市立潮見小学校,01:北海道,012190:紋別市,小学校
261,mombetsu-e-shokotsu.edumap.jp,121:紋別市教育委員会,266:紋別市立渚滑小学校,01:北海道,012190:紋別市,小学校
262,mombetsu-e-mombetsu.edumap.jp,121:紋別市教育委員会,267:紋別市立紋別小学校,01:北海道,012190:紋別市,小学校
263,toyone-el.edumap.jp,122:豊根村立豊根小学校,264:豊根村立豊根小学校,23:愛知県,235636:豊根村,小学校
264,nazumi-e.edumap.jp,123:時津町立鳴鼓小学校,309:時津町立鳴鼓小学校,42:長崎県,423084:時津町,小学校
265,ohtawara-city-chikasono-junior-high-school.edumap.jp,124:大田原市教育委員会,276:大田原市立親園中学校,09:栃木県,092100:大田原市,中学校
266,ohtawara-city-kanedakita-junior-high-school.edumap.jp,124:大田原市教育委員会,277:大田原市立金田北中学校,09:栃木県,092100:大田原市,中学校
267,ohtawara-city-kanedaminami-junior-high-school.edumap.jp,124:大田原市教育委員会,278:大田原市立金田南中学校,09:栃木県,092100:大田原市,中学校
268,ohtawara-city-nozaki-junior-high-school.edumap.jp,124:大田原市教育委員会,284:大田原市立野崎中学校,09:栃木県,092100:大田原市,中学校
269,ohtawara-city-yuzukami-junior-high-school.edumap.jp,124:大田原市教育委員会,285:大田原市立湯津上中学校,09:栃木県,092100:大田原市,中学校
270,ohtawara-city-ohtawara-junior-high-school.edumap.jp,124:大田原市教育委員会,294:大田原市立大田原中学校,09:栃木県,092100:大田原市,中学校
271,ohtawara-city-kurobane-junior-high-school.edumap.jp,124:大田原市教育委員会,298:大田原市立黒羽中学校,09:栃木県,092100:大田原市,中学校
272,ohtawara-city-wakakusa-junior-high-school.edumap.jp,124:大田原市教育委員会,301:大田原市立若草中学校,09:栃木県,092100:大田原市,中学校
273,ohtawara-city-sakuyama-elementary-school.edumap.jp,124:大田原市教育委員会,273:大田原市立佐久山小学校,09:栃木県,092100:大田原市,小学校
274,ohtawara-city-okusawa-elementary-school.edumap.jp,124:大田原市教育委員会,274:大田原市立奥沢小学校,09:栃木県,092100:大田原市,小学校
275,ohtawara-city-ryougoutyuuou-elementary-school.edumap.jp,124:大田原市教育委員会,275:大田原市立両郷中央小学校,09:栃木県,092100:大田原市,小学校
276,ohtawara-city-sarado-elementary-school.edumap.jp,124:大田原市教育委員会,279:大田原市立佐良土小学校,09:栃木県,092100:大田原市,小学校
277,ohtawara-city-kanemaru-elementary-school.edumap.jp,124:大田原市教育委員会,280:大田原市立金丸小学校,09:栃木県,092100:大田原市,小学校
278,ohtawara-city-ohtawara-elementary-school.edumap.jp,124:大田原市教育委員会,281:大田原市立大田原小学校,09:栃木県,092100:大田原市,小学校
279,ohtawara-city-nishihara-elementary-school.edumap.jp,124:大田原市教育委員会,282:大田原市立西原小学校,09:栃木県,092100:大田原市,小学校
280,ohtawara-city-udakawa-elementary-school.edumap.jp,124:大田原市教育委員会,283:大田原市立宇田川小学校,09:栃木県,092100:大田原市,小学校
281,ohtawara-city-ichinosawa-elementary-school.edumap.jp,124:大田原市教育委員会,286:大田原市立市野沢小学校,09:栃木県,092100:大田原市,小学校
282,ohtawara-city-hiruta-elementary-school.edumap.jp,124:大田原市教育委員会,289:大田原市立蛭田小学校,09:栃木県,092100:大田原市,小学校
283,ohtawara-city-sukagawa-elementary-school.edumap.jp,124:大田原市教育委員会,290:大田原市立須賀川小学校,09:栃木県,092100:大田原市,小学校
284,ohtawara-city-murasakizuka-elementary-school.edumap.jp,124:大田原市教育委員会,293:大田原市立紫塚小学校,09:栃木県,092100:大田原市,小学校
285,ohtawara-city-usuba-elementary-school.edumap.jp,124:大田原市教育委員会,295:大田原市立薄葉小学校,09:栃木県,092100:大田原市,小学校
286,ohtawara-city-kawanishi-elementary-school.edumap.jp,124:大田原市教育委員会,296:大田原市立川西小学校,09:栃木県,092100:大田原市,小学校
287,ohtawara-city-kurobane-elementary-school.edumap.jp,124:大田原市教育委員会,297:大田原市立黒羽小学校,09:栃木県,092100:大田原市,小学校
288,ohtawara-city-handa-elementary-school.edumap.jp,124:大田原市教育委員会,299:大田原市立羽田小学校,09:栃木県,092100:大田原市,小学校
289,ohtawara-city-yuzukami-elementary-school.edumap.jp,124:大田原市教育委員会,300:大田原市立湯津上小学校,09:栃木県,092100:大田原市,小学校
290,ohtawara-city-ishigami-elementary-school.edumap.jp,124:大田原市教育委員会,302:大田原市立石上小学校,09:栃木県,092100:大田原市,小学校
291,ohtawara-city-chikasono-elementary-school.edumap.jp,124:大田原市教育委員会,303:大田原市立親園小学校,09:栃木県,092100:大田原市,小学校
292,mizuho2020.edumap.jp,125:つがる市立瑞穂小学校,272:つがる市立瑞穂小学校,02:青森県,022098:つがる市,小学校
293,togitsukita-e.edumap.jp,126:時津町立時津北小学校,311:時津町立時津北小学校,42:長崎県,423084:時津町,小学校
294,saiwaichosyo.edumap.jp,127:埼玉県川口市立幸町小学校,312:埼玉県川口市立幸町小学校,11:埼玉県,112038:川口市,小学校
295,misato-oosawa.edumap.jp,129:美里町立大沢小学校,326:美里町立大沢小学校,11:埼玉県,113816:美里町,小学校
296,oshu-public-elementary-school.edumap.jp,130:奥州市立人首小学校,325:奥州市立人首小学校,03:岩手県,032158:奥州市,小学校
