No,キー,組織,学校,都道府県,市区町村,校種
107,nishi-e-warabi.edumap.jp,25:蕨市教育委員会,85:蕨市立西小学校,11:埼玉県,112232:蕨市,小学校
108,chuohigashi-e-warabi.edumap.jp,25:蕨市教育委員会,119:蕨市立中央東小学校,11:埼玉県,112232:蕨市,小学校
109,higashi-e-warabi.edumap.jp,25:蕨市教育委員会,160:蕨市立東小学校,11:埼玉県,112232:蕨市,小学校
110,minami-e-warabi.edumap.jp,25:蕨市教育委員会,230:蕨市立南小学校,11:埼玉県,112232:蕨市,小学校
111,kawaguchi-municipal-aokikita-ele.edumap.jp,26:川口市立青木北小学校,54:川口市立青木北小学校,11:埼玉県,112038:川口市,小学校
112,niimi-city-niimiminami-elementar.edumap.jp,27:新見市立新見南小学校,82:新見市立新見南小学校,33:岡山県,332101:新見市,小学校
113,furano-nishi-jhs.edumap.jp,28:富良野市立富良野西中学校,64:富良野市立富良野西中学校,01:北海道,012297:富良野市,中学校
114,motogo-elementary-school.edumap.jp,29:川口市立元郷小学校,74:川口市立元郷小学校,11:埼玉県,112038:川口市,小学校
115,nasuchuo-jh.edumap.jp,31:那須町教育委員会,81:那須中央中中学校,09:栃木県,094072:那須町,中学校
116,nasu-jh.edumap.jp,31:那須町教育委員会,138:那須中学校,09:栃木県,094072:那須町,中学校
117,nasukougen.edumap.jp,31:那須町教育委員会,79:那須高原小学校,09:栃木県,094072:那須町,小学校
118,tashiroyuuai.edumap.jp,31:那須町教育委員会,80:田代友愛小学校,09:栃木県,094072:那須町,小学校
119,kurodahara.edumap.jp,31:那須町教育委員会,109:黒田原小学校,09:栃木県,094072:那須町,小学校
120,toyo.edumap.jp,31:那須町教育委員会,139:東陽小学校,09:栃木県,094072:那須町,小学校
121,takaku.edumap.jp,31:那須町教育委員会,142:高久小学校,09:栃木県,094072:那須町,小学校
122,manabinomori.edumap.jp,31:那須町教育委員会,146:学びの森小学校,09:栃木県,094072:那須町,小学校
123,shibaminami.edumap.jp,33:川口市立芝南小学校,131:川口市立芝南小学校,11:埼玉県,112038:川口市,小学校
124,tendo2jh.edumap.jp,34:天童市立第二中学校,96:天童市立第二中学校,06:山形県,062103:天童市,中学校
125,hatogaya.edumap.jp,35:川口市立鳩ヶ谷小学校,101:川口市立鳩ヶ谷小学校,11:埼玉県,112038:川口市,小学校
126,tokorozawa-city-seisin-e-saitama.edumap.jp,37:埼玉県所沢市立清進小学校,132:埼玉県所沢市立清進小学校,11:埼玉県,112089:所沢市,小学校
127,c-niiza.edumap.jp,38:新座市立第三中学校,120:新座市立第三中学校,11:埼玉県,112305:新座市,中学校
128,www-sch-todukakita-kawaguchi.edumap.jp,40:川口市立戸塚北小学校,126:川口市立戸塚北小学校,11:埼玉県,112038:川口市,小学校
129,ibukiyama-j-maibara.edumap.jp,41:米原市教育委員会,124:米原市立伊吹山中学校,25:滋賀県,252140:米原市,中学校
130,kashiwabara-j-maibara.edumap.jp,41:米原市教育委員会,125:米原市立柏原中学校,25:滋賀県,252140:米原市,中学校
131,souyou-j-maibara.edumap.jp,41:米原市教育委員会,129:米原市立双葉中学校,25:滋賀県,252140:米原市,中学校
132,kanan-j-maibara.edumap.jp,41:米原市教育委員会,147:米原市立河南中学校,25:滋賀県,252140:米原市,中学校
133,daito-j-maibara.edumap.jp,41:米原市教育委員会,238:米原市立大東中学校,25:滋賀県,252140:米原市,中学校
134,maibara-j-maibara.edumap.jp,41:米原市教育委員会,322:米原市立米原中学校,25:滋賀県,252140:米原市,中学校
135,kashiwabara-e-maibara.edumap.jp,41:米原市教育委員会,127:米原市立柏原小学校,25:滋賀県,252140:米原市,小学校
136,suijyou-e-maibara.edumap.jp,41:米原市教育委員会,130:米原市立春照小学校,25:滋賀県,252140:米原市,小学校
137,maibara-e-maibara.edumap.jp,41:米原市教育委員会,137:米原市立米原小学校,25:滋賀県,252140:米原市,小学校
138,santo-e-maibara.edumap.jp,41:米原市教育委員会,140:米原市立山東小学校,25:滋賀県,252140:米原市,小学校
139,kanan-e-maibara.edumap.jp,41:米原市教育委員会,258:米原市立河南小学校,25:滋賀県,252140:米原市,小学校
140,ibuki-e-maibara.edumap.jp,41:米原市教育委員会,259:米原市立伊吹小学校,25:滋賀県,252140:米原市,小学校
141,ohara-e-maibara.edumap.jp,41:米原市教育委員会,319:米原市立大原小学校,25:滋賀県,252140:米原市,小学校
142,okinaga-e-maibara.edumap.jp,41:米原市教育委員会,320:米原市立息長小学校,25:滋賀県,252140:米原市,小学校
143,sakata-e-maibara.edumap.jp,41:米原市教育委員会,321:米原市立坂田小学校,25:滋賀県,252140:米原市,小学校
144,togitsu-higashi.edumap.jp,42:時津町立時津東小学校,141:時津町立時津東小学校,42:長崎県,423084:時津町,小学校
145,kitamifuji.edumap.jp,43:北見藤高等学校,134:北見藤高等学校,01:北海道,012084:北見市,高等学校
146,haramachi-kawaguchi.edumap.jp,44:埼玉県川口市立原町小学校,128:川口原町小学校,11:埼玉県,112038:川口市,小学校
147,kisochouritu-fukushimashougakkou.edumap.jp,45:木曽町立福島小学校,143:木曽町立福島小学校,20:長野県,204323:木曽町,小学校
148,kawaguchi-jirin-e.edumap.jp,46:川口市立慈林小学校,133:川口市立慈林小学校,11:埼玉県,112038:川口市,小学校
149,roppongi-high-school.edumap.jp,47:東京都立六本木高等学校,136:東京都立六本木高等学校,13:東京都,131032:港区,高等学校
150,sch-kawaguchi-saitama.edumap.jp,48:川口市立根岸小学校,153:川口市立根岸小学校,11:埼玉県,112038:川口市,小学校
151,shikige-jh.edumap.jp,49:川西町・三宅町式下中学校組合教育委員会,145:式下中学校,29:奈良県,293610:川西町,中学校
152,kouyou-jh-tokorozawa-stm.edumap.jp,51:所沢市立向陽中学校,158:所沢市立向陽中学校,11:埼玉県,112089:所沢市,中学校
153,kawaguchi-shiba-jh.edumap.jp,52:川口市立芝中学校,149:川口市立芝中学校,11:埼玉県,112038:川口市,中学校
154,kita-e-warabi.edumap.jp,54:蕨市立北小学校,155:蕨市立北小学校,11:埼玉県,112232:蕨市,小学校
155,tokorozawa-city-kitano-e-saitama.edumap.jp,55:所沢市立北野小学校,163:所沢市立北野小学校,11:埼玉県,112089:所沢市,小学校
156,hakodatekita.edumap.jp,56:函館市立北中学校,157:函館市立北中学校,01:北海道,012025:函館市,中学校
157,tozukahigashi-e-kawaguchi.edumap.jp,58:川口市立戸塚東小学校,156:川口市立戸塚東小学校,11:埼玉県,112038:川口市,小学校
158,atami-dai1.edumap.jp,59:熱海市立第一小学校,159:熱海市立第一小学校,22:静岡県,222054:熱海市,小学校
159,mito-jh.edumap.jp,61:益田市立美都中学校,161:益田市立美都中学校,32:島根県,322041:益田市,中学校
160,tutu-elementary-school.edumap.jp,62:対馬市立豆酘小学校,162:対馬市立豆酘小学校,42:長崎県,422096:対馬市,小学校
161,sachinami09.edumap.jp,63:川口市立幸並中学校,270:川口市立幸並中学校,11:埼玉県,112038:川口市,中学校
162,togitsu-elementa-nagasaki.edumap.jp,64:時津町立時津小学校,164:時津町立時津小学校,42:長崎県,423084:時津町,小学校
163,sch-kawaguchi-singominami.edumap.jp,66:川口市立新郷南小学校,165:川口市立新郷南小学校,11:埼玉県,112038:川口市,小学校
164,kitatama-e.edumap.jp,68:北谷町教育委員会,315:北谷町立　北玉小学校,47:沖縄県,473260:北谷町,小学校
165,konosu-j-konosu.edumap.jp,69:鴻巣市教育委員会,186:鴻巣市立鴻巣中学校,11:埼玉県,112178:鴻巣市,中学校
166,kokita-j-konosu.edumap.jp,69:鴻巣市教育委員会,187:鴻巣市立鴻巣北中学校,11:埼玉県,112178:鴻巣市,中学校
167,konishi-j-konosu.edumap.jp,69:鴻巣市教育委員会,188:鴻巣市立鴻巣西中学校,11:埼玉県,112178:鴻巣市,中学校
168,kominami-j-konosu.edumap.jp,69:鴻巣市教育委員会,189:鴻巣市立鴻巣南中学校,11:埼玉県,112178:鴻巣市,中学校
169,akamidai-j-konosu.edumap.jp,69:鴻巣市教育委員会,190:鴻巣市立赤見台中学校,11:埼玉県,112178:鴻巣市,中学校
170,fukiage-j-konosu.edumap.jp,69:鴻巣市教育委員会,191:鴻巣市立吹上中学校,11:埼玉県,112178:鴻巣市,中学校
171,fukiagekita-j-konosu.edumap.jp,69:鴻巣市教育委員会,192:鴻巣市立吹上北中学校,11:埼玉県,112178:鴻巣市,中学校
172,kawasato-j-konosu.edumap.jp,69:鴻巣市教育委員会,193:鴻巣市立川里中学校,11:埼玉県,112178:鴻巣市,中学校
173,matubara-e-konosu.edumap.jp,69:鴻巣市教育委員会,167:鴻巣市立松原小学校,11:埼玉県,112178:鴻巣市,小学校
174,aka1-e-konosu.edumap.jp,69:鴻巣市教育委員会,168:鴻巣市立赤見台第一小学校,11:埼玉県,112178:鴻巣市,小学校
175,aka2-e-konosu.edumap.jp,69:鴻巣市教育委員会,169:鴻巣市立赤見台第二小学校,11:埼玉県,112178:鴻巣市,小学校
176,kochuo-e-konosu.edumap.jp,69:鴻巣市教育委員会,170:鴻巣市立鴻巣中央小学校,11:埼玉県,112178:鴻巣市,小学校
177,kyowa-e-konosu.edumap.jp,69:鴻巣市教育委員会,171:鴻巣市立共和小学校,11:埼玉県,112178:鴻巣市,小学校
178,kohigashi-e-konosu.edumap.jp,69:鴻巣市教育委員会,172:鴻巣市立鴻巣東小学校,11:埼玉県,112178:鴻巣市,小学校
179,kominami-e-konosu.edumap.jp,69:鴻巣市教育委員会,173:鴻巣市立鴻巣南小学校,11:埼玉県,112178:鴻巣市,小学校
180,mamuro-e-konosu.edumap.jp,69:鴻巣市教育委員会,174:鴻巣市立馬室小学校,11:埼玉県,112178:鴻巣市,小学校
181,tamamiya-e-konosu.edumap.jp,69:鴻巣市教育委員会,175:鴻巣市立田間宮小学校,11:埼玉県,112178:鴻巣市,小学校
182,mida-e-konosu.edumap.jp,69:鴻巣市教育委員会,176:鴻巣市立箕田小学校,11:埼玉県,112178:鴻巣市,小学校
183,kasahara-e-konosu.edumap.jp,69:鴻巣市教育委員会,177:鴻巣市立笠原小学校,11:埼玉県,112178:鴻巣市,小学校
184,jyoko-e-konosu.edumap.jp,69:鴻巣市教育委員会,178:鴻巣市立常光小学校,11:埼玉県,112178:鴻巣市,小学校
185,kokita-e-konosu.edumap.jp,69:鴻巣市教育委員会,179:鴻巣市立鴻巣北小学校,11:埼玉県,112178:鴻巣市,小学校
186,fukiage-e-konosu.edumap.jp,69:鴻巣市教育委員会,180:鴻巣市立吹上小学校,11:埼玉県,112178:鴻巣市,小学校
187,koya-e-konosu.edumap.jp,69:鴻巣市教育委員会,181:鴻巣市立小谷小学校,11:埼玉県,112178:鴻巣市,小学校
188,shimooshi-e-konosu.edumap.jp,69:鴻巣市教育委員会,182:鴻巣市立下忍小学校,11:埼玉県,112178:鴻巣市,小学校
189,oashi-e-konosu.edumap.jp,69:鴻巣市教育委員会,183:鴻巣市立大芦小学校,11:埼玉県,112178:鴻巣市,小学校
190,kusu-e-konosu.edumap.jp,69:鴻巣市教育委員会,184:鴻巣市立屈巣小学校,11:埼玉県,112178:鴻巣市,小学校
191,hiroda-e-konosu.edumap.jp,69:鴻巣市教育委員会,185:鴻巣市立広田小学校,11:埼玉県,112178:鴻巣市,小学校
192,higashiryoke-e-kawaguchi-saitama.edumap.jp,70:川口市立東領家小学校,194:川口市立東領家小学校,11:埼玉県,112038:川口市,小学校
193,tozukaayase-e-kawaguchi-saitama.edumap.jp,71:川口市立戸塚綾瀬小学校,195:川口市立戸塚綾瀬小学校,11:埼玉県,112038:川口市,小学校
194,kamiaokiminami-e-kawaguchi-saitama.edumap.jp,72:川口市立上青木南小学校,196:川口市立上青木南小学校,11:埼玉県,112038:川口市,小学校
195,ryoke-e-kawaguchi-saitama.edumap.jp,73:川口市立領家小学校,197:川口市立領家小学校,11:埼玉県,112038:川口市,小学校
196,tozukaminami-e-kawaguchi-saitama.edumap.jp,74:川口市立戸塚南小学校,198:川口市立戸塚南小学校,11:埼玉県,112038:川口市,小学校
197,kamiaoki-e-kawaguchi-saitama.edumap.jp,75:川口市立上青木小学校,199:川口市立上青木小学校,11:埼玉県,112038:川口市,小学校
198,zaike-j-kawaguchi-saitama.edumap.jp,76:川口市立在家中学校,200:川口市立在家中学校,11:埼玉県,112038:川口市,中学校
199,yanagisaki-e-kawaguchi-saitama.edumap.jp,77:川口市立柳崎小学校,201:川口市立柳崎小学校,11:埼玉県,112038:川口市,小学校
200,maekawahigashi-e-kawaguchi-saitama.edumap.jp,78:川口市立前川東小学校,202:川口市立前川東小学校,11:埼玉県,112038:川口市,小学校
